word,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25
lion,a-lion's-bushy-tail-swishing-back-and-forth-as-it-moves-through-the-grass,a-lion's-fierce-growl-warning-off-an-intruder,a-male-lion-standing-guard-on-a-rocky-outcropping-overlooking-a-valley,a-pride-of-lions-resting-in-the-shade-of-an-acacia-tree,a-close-up-view-of-a-lion's-sharp-teeth-and-powerful-jaw,a-giraffe-watching-a-lion-pride-from-a-safe-distance-in-the-trees,a-safari-guide-pointing-out-a-lion-pride-in-the-distance,"a-large,-stone-statue-of-a-lion-guarding-the-entrance-of-a-temple",a-lion's-body-heat-visible-as-it-lies-in-the-shade,a-lion's-powerful-roar-echoing-across-the-open-plains,a-lion's-mane-standing-tall-on-a-savannah-plain,a-tourist-taking-a-photo-with-a-phone-held-up-high-in-front-of-a-rocky-outcropping,a-lion's-powerful-legs-striding-across-the-grasslands,a-lion's-fur-fluffed-up-in-the-cold-of-a-winter-morning,a-lioness-stalking-prey-through-a-dense-thorny-thicket,a-group-of-vultures-circling-lazily-overhead-in-a-blue-sky,a-lion's-head-poking-out-from-behind-a-rock-to-survey-its-surroundings,a-lion's-ears-perked-up-as-it-listens-for-a-distant-sound,a-young-lion-cub-taking-its-first-steps-in-the-tall-grass,a-lion's-paw-swiping-at-a-fly-buzzing-around-its-ear,a-lioness-stalking-her-prey-through-tall-grass,a-lion's-eyes-gazing-intensely-at-a-potential-threat,"a-massive,-shaggy-mane-on-a-male-lion's-neck",a-golden-savannah-stretching-towards-a-distant-hill,a-cluster-of-tourists-gathered-around-a-lion-enclosure-at-a-zoo
liquid,a-dripping-faucet-in-a-bathroom-sink,a-child-splashing-in-a-pool-on-a-sunny-summer-day,a-person-splashing-water-on-their-face-to-wake-themselves-up,a-row-of-soda-cans-in-a-vending-machine,a-glass-of-ketchup-on-a-diner-table-with-a-burger-nearby,a-person-drinking-from-a-canteen-while-hiking-in-the-wilderness,a-fish-swimming-in-an-aquarium-with-water-rippling-around-it,a-small-fish-swimming-in-an-aquarium-filled-with-blue-water,a-glass-of-water-sitting-on-a-wooden-kitchen-table,a-splash-of-water-in-a-bathtub-during-a-relaxing-bath,a-glass-of-sparkling-water-on-a-beach-towel,a-bucket-being-used-to-carry-water-to-a-plant-or-garden,a-glass-of-clear-water-on-a-kitchen-table,a-kitchen-with-a-large-container-of-juice-or-soda-on-the-counter,a-cup-of-milk-on-a-kitchen-table-next-to-a-bowl-of-cereal,a-filled-bottle-of-juice-on-a-grocery-store-shelf,a-cup-of-tea-being-steeped-in-a-cozy-living-room,a-bathtub-filled-with-bubbles-and-a-person-relaxing-in-it,a-person-filling-up-their-car's-gas-tank,a-hose-spraying-water-onto-a-lush-green-lawn,a-glass-of-water-on-a-wooden-beachside-table,a-sink-faucet-running-with-water-splashing-onto-the-countertop,a-soap-bubble-floating-in-the-air-near-a-sink,a-boat-sailing-on-a-calm-ocean-with-a-trail-of-waves-behind-it,a-glass-of-juice-being-squeezed-from-a-fresh-orange
liquor,a-glass-of-scotch-being-sipped-in-a-leather-armchair,a-liquor-store-shelf-stocked-with-various-types-of-liquor-and-mixers,a-wine-and-cheese-platter-on-a-elegant-table-setting,a-bottle-of-gin-on-a-vintage-wooden-shelf-in-a-antique-store,a-person-taking-a-sip-of-a-margarita-from-a-salt-rimmed-glass,a-wooden-wine-barrel-with-a-tap-on-a-vineyard,a-person-holding-a-beer-and-watching-a-sports-game-on-tv,a-wine-bottle-sitting-on-a-wooden-wine-rack-in-a-dimly-lit-cellar,a-cocktail-menu-on-a-chalkboard-at-a-trendy-bar,a-person-holding-a-drink-with-an-olive-in-a-high-end-restaurant,a-beer-tap-at-a-sports-stadium-with-a-crowd-in-the-background,a-bottle-of-champagne-being-popped-at-a-wedding-celebration,"a-liquor-cabinet-in-a-home,-with-doors-slightly-ajar-to-reveal-bottles-inside",a-person-sipping-a-martini-in-a-sophisticated-hotel-lounge,a-bartender-pouring-whiskey-into-a-short-glass-over-ice,a-stack-of-liquor-bottles-on-a-shelf-in-a-liquor-store,a-bartender-making-a-craft-cocktail-with-colorful-garnishes,a-person-holding-a-beer-can-at-a-backyard-barbecue,a-wine-and-cheese-tasting-event-with-small-plates-and-glasses,a-bartender-pouring-a-shot-of-whiskey-into-a-small-glass,a-glass-of-red-wine-being-swirled-in-a-wine-glass,a-cocktail-garnish-tray-with-olives-and-lemons,a-beer-can-in-the-cooler-of-a-fishing-boat,a-wine-cellar-with-rows-of-bottles-on-shelves,a-barista-pouring-a-shot-of-espresso-into-a-cup
liver,a-bottle-of-worcestershire-sauce-on-a-spice-rack-in-a-home-kitchen,a-person-eating-a-slice-of-liver-at-a-raw-food-restaurant,a-raw-liver-sliced-into-thin-pieces-on-a-metal-cutting-board,a-liver-and-spinach-salad-in-a-large-bowl,a-liver-transplantation-surgery-being-performed-in-an-operating-room,a-diagram-showing-the-different-lobes-of-the-liver,a-bag-of-frozen-liver-being-thawed-in-the-refrigerator,a-steaming-plate-of-liver-and-onions-at-a-diner,a-liver-shaped-decoration-on-a-kitchen-wall,a-person-holding-a-glass-of-milk-and-a-plate-of-liver-toast,a-doctor-examining-a-patient's-liver-function-with-a-blood-test,a-chef-slicing-a-frozen-liver-in-a-walk-in-freezer,a-plate-of-fried-liver-and-capers-being-devoured-by-a-hungry-customer,a-person-carefully-packaging-sliced-liver-in-a-vacuum-sealed-bag,a-liver-shaped-cookie-cutter-sitting-on-a-cluttered-kitchen-counter,a-person-cooking-liver-and-rice-in-a-rice-cooker,a-can-of-beef-liver-in-a-grocery-store-pantry,a-liver-themed-pin-on-a-chef's-hat,a-plate-of-liver-and-onions-being-served-in-a-restaurant,a-liver-and-sweet-potato-hash-in-a-cast-iron-skillet,a-diagram-of-the-human-liver-organ-in-a-medical-textbook,a-liver-and-bacon-quiche-being-removed-from-the-oven,a-bottle-of-liver-tonic-supplement-on-a-pharmacy-shelf,a-patient-lying-on-a-hospital-bed-with-a-doctor-examining-their-liver-via-ultrasound,a-liver-cancer-awareness-ribbon-on-a-lapel
lizard,"a-lizard-basking-in-the-sun-on-a-warm,-rocky-outcropping",a-herpetologist-releasing-a-captured-lizard-back-into-the-wild,"a-reptile-enthusiast-holding-a-large,-colorful-gecko-in-a-terrarium",a-rocky-outcropping-in-a-rainforest-with-a-brightly-colored-anole-perched-on-a-branch,a-herpetologist-carefully-handling-a-venomous-snake-in-a-controlled-environment,a-person-observing-a-group-of-lizards-basking-in-the-sun-on-a-rock,a-garden-with-a-lizard-perched-on-a-leaf-of-a-succulent-plant,a-snake-and-lizard-exhibit-at-a-natural-history-museum,a-rock-wall-with-a-lizard-climbing-up-the-face,"a-zoo-exhibit-with-a-large,-green-komodo-dragon-roaring-behind-a-safety-fence",a-zoo-visitor-looking-at-a-lizard-through-a-viewing-glass,a-cactus-plant-in-a-desert-landscape-with-a-small-lizard-climbing-up,a-rock-formation-with-a-desert-landscape-in-the-background,"a-terrarium-in-a-school-classroom-with-a-small,-harmless-lizard-being-studied","a-lizard-basking-in-the-sun-on-a-branch,-with-leaves-and-flowers-nearby","a-sand-covered-beach-with-a-small,-pale-anole-darting-across-a-piece-of-driftwood",a-person-observing-a-lizard-basking-in-the-sun-on-a-branch,a-rocky-canyon-wall-with-a-group-of-geckos-clinging-to-the-side,"a-herpetologist-holding-a-large,-spiky-lizard-in-a-controlled-environment",a-close-up-view-of-a-lizard's-sharp-teeth-and-scaly-skin,a-herpetologist-examining-a-lizard's-skin-patterns-in-a-laboratory-setting,"a-jungle-floor-with-a-quick-moving,-insect-eating-skink-lizard",a-person-holding-a-lizard-in-a-terrarium-with-a-background-of-palm-trees,a-veterinarian-examining-a-bearded-dragon-on-a-examination-table,"a-lizard's-footprint-in-the-sand,-with-the-creature's-tail-visible"
loafer,a-man's-feet-in-a-pair-of-loafers-walking-down-a-city-sidewalk,a-man's-feet-in-a-pair-of-loafers-stepping-into-a-pool,"a-fashion-magazine-spread-featuring-a-model's-feet-in-a-pair-of-luxurious,-tasseled-loafers",a-collection-of-loafers-in-various-colors-and-textures-on-a-shoe-shelf,"a-close-up-view-of-a-loafer's-sole-and-heel,-highlighting-the-quality-of-the-craftsmanship",a-pair-of-black-patent-leather-loafers-sitting-next-to-a-stack-of-dress-socks,"a-close-up-view-of-a-loafer's-strap-and-buckle,-highlighting-the-attention-to-detail",a-loafer-being-slipped-on-by-a-person-with-a-sock-with-a-fun-design,a-fashion-photographer-capturing-a-model's-feet-in-a-pair-of-stylish-loafers,a-shoe-repair-person-working-on-a-pair-of-worn-out-loafers,a-loafers-and-socks-pair-being-placed-on-a-bed-in-a-hotel-room,a-person's-feet-in-a-pair-of-loafers-walking-through-a-field-of-flowers,a-person-slipping-on-a-pair-of-loafers-after-a-shower-in-a-bathroom,"a-person-slipping-off-their-loafers-at-the-end-of-a-long-day,-relaxing-at-home","a-man's-foot-stepping-into-a-sleek,-black-loafer-in-a-stylish-dressing-room",a-shoebox-containing-a-new-pair-of-loafers-with-a-ribbon-around-it,a-close-up-view-of-a-loafer's-brogue-detailing-and-ornate-stitching,a-loafer-resting-on-a-velvet-covered-shoe-tree-in-a-bedroom,"a-pair-of-loafers-being-polished-with-a-soft,-white-cloth-and-a-metal-buffer",a-pair-of-loafers-sitting-on-a-hook-by-the-front-door,a-pair-of-loafers-sitting-on-a-coffee-table-in-a-living-room,a-stack-of-loafers-in-a-variety-of-colors-on-a-shoe-rack-in-a-closet,"a-pair-of-loafers-with-a-slip-on-design-and-a-rich,-luxurious-leather","a-person-wearing-loafers-to-a-formal-wedding,-standing-outside-a-church","a-person-slipping-on-a-loafer-in-the-morning,-getting-ready-for-work"
lobster,a-claw-hammer-being-used-to-crack-open-a-lobster-shell-at-a-backyard-barbecue,a-lobster-trap-sitting-on-a-wooden-dock-in-a-coastal-fishing-village,a-fisherman-hauling-in-a-lobster-pot-from-the-ocean,a-person-wearing-a-bib-while-eating-lobster-at-a-casual-restaurant,a-seafood-buffet-with-a-lobster-carving-station-and-melted-butter,"a-lobster's-antennae-and-eyes-visible-on-a-live,-underwater-display",a-wooden-lobster-boat-cruising-through-calm-waters-in-a-bay,a-lobster-shaped-cookie-being-baked-in-an-oven,a-chef-holding-a-steaming-lobster-on-a-wooden-cutting-board,a-claw-cracker-lying-next-to-a-plate-with-a-lobster's-shell,a-plate-of-lobster-bisque-being-served-in-a-fine-dining-restaurant,a-person-wearing-a-bib-and-eating-lobster-with-their-hands-at-a-casual-dinner-gathering,a-tray-of-fresh-lobster-tails-being-prepared-for-display-in-a-grocery-store,a-group-of-people-at-a-seafood-restaurant-eating-lobster-rolls,a-lobster-fisherman-unloading-his-catch-at-a-seafood-auction-house,a-lobster-roll-being-assembled-at-a-seafood-deli-counter,a-plate-of-cold-lobster-salad-with-mayonnaise-and-herbs-at-a-summer-picnic,a-person-shelling-lobster-meat-in-a-commercial-kitchen,a-plate-of-lobster-mac-and-cheese-at-a-casual-seafood-diner,a-glass-jar-filled-with-pickled-lobster-at-a-specialty-food-store,a-person-wearing-a-lobster-shaped-costume-at-a-seafood-themed-party,a-person-wearing-a-bib-and-holding-a-lobster-claw-at-a-backyard-barbecue,a-lobster's-claw-snapping-shut-around-a-fisherman's-hand,a-chef-expertly-cutting-into-a-lobster's-shell-to-extract-meat,a-scuba-diver-swimming-alongside-a-school-of-lobsters-in-a-coral-reef
locker,a-school-administrator-checking-the-contents-of-a-student's-locker,a-name-tag-on-a-locker-with-a-student's-initials-and-grade-level,a-student-looking-at-a-combination-lock-and-trying-to-figure-out-the-combination-in-front-of-a-row-of-lockers,a-student-rummaging-through-their-locker-to-find-a-missing-textbook,a-student-using-a-locker-to-store-their-lunch-during-the-day,a-combination-lock-being-used-to-secure-a-storage-bin,a-locker-with-a-sign-that-says-'do-not-open'-or-'maintenance-in-progress',"a-locker-with-a-name-tag-and-a-fun-design,-such-as-a-cartoon-character",a-person-hanging-up-a-jacket-on-a-hook-in-front-of-a-locker-in-a-school-hallway,a-gym-bag-and-water-bottle-sitting-on-a-locker-shelf,a-student-storing-their-athletic-gear-in-a-large-gym-locker,a-padlock-on-a-fence-surrounding-a-private-yard,a-person-inserting-a-key-into-a-keyhole-to-unlock-a-locker,a-person-locking-a-combination-lock-on-a-gym-locker-with-a-rubber-band,a-metal-locker-with-a-combination-lock-in-a-crowded-high-school-hallway,a-student-using-a-locker-to-store-their-winter-coat-during-the-summer,a-gym-locker-room-with-rows-of-lockers-and-a-sign-that-says-'showers',"a-person-storing-a-bicycle-helmet-and-a-lunchbox-in-a-large,-metal-locker-in-a-school's-bike-storage-room",a-student's-backpack-and-lunchbox-sitting-on-a-locker-shelf,a-student-using-a-lock-cutter-to-open-a-combination-lock,a-combination-lock-hanging-from-a-chain-around-a-student's-neck,"a-student-storing-a-musical-instrument-in-a-small,-metal-locker-on-a-train",a-gym-locker-with-a-basketball-and-athletic-shoes-inside,a-student-holding-a-combination-lock-and-looking-confused-in-front-of-a-row-of-lockers,a-row-of-metal-lockers-in-a-public-swimming-pool's-locker-room
lotion,a-woman-applying-lotion-to-her-legs-after-shaving,a-spa-day-setting-with-a-woman-receiving-a-lotion-massage,"a-bottle-of-lotion-with-a-decorative,-glittery-label",a-bottle-of-lotion-sitting-on-a-bathroom-countertop-next-to-a-sink,a-bottle-of-lotion-sitting-on-a-bathroom-countertop,a-person-enjoying-a-relaxing-massage-with-lotion-in-a-peaceful-garden-setting,a-bottle-of-lotion-with-a-label-featuring-aloe-vera-and-vitamin-e,a-woman-gently-applying-lotion-to-her-legs-in-a-sunroom,a-bottle-of-lotion-being-held-by-a-spa-therapist-during-a-massage,a-bottle-of-lotion-with-a-pump-on-a-hotel-room-nightstand,a-travel-sized-lotion-pack-in-a-carry-on-luggage,a-bottle-of-lotion-with-a-label-that-says-'fragrance-free'-on-it,a-person-applying-lotion-to-dry-skin-on-their-feet-after-a-long-hike,a-mother-gently-applying-lotion-to-her-child's-skin-after-a-bath,a-small-tub-of-lotion-sitting-next-to-a-pair-of-flip-flops-on-a-hotel-room-nightstand,a-shelf-stocked-with-various-scented-lotions-in-a-spa-store,a-store-display-of-lotions-and-creams-for-dry-skin,a-bottle-of-lotion-with-a-label-featuring-green-tea-and-chamomile,a-person-applying-lotion-to-their-hands-before-going-to-bed,a-bottle-of-scented-lotion-with-a-label-featuring-a-floral-design,a-bottle-of-lotion-sitting-on-a-bathroom-counter,a-bottle-of-lotion-with-a-flip-top-cap-sitting-on-a-bedside-table,a-person-applying-lotion-to-their-cuticles,a-collection-of-lotions-in-mini-sizes-in-a-gift-set,a-spa-therapist-massaging-lotion-into-a-client's-skin
lumber,a-bundle-of-wooden-dowels-stacked-on-a-shelf-in-a-craft-store,a-woodworker-sanding-a-smooth-wooden-surface-in-a-workshop,a-lumber-truck-driving-down-a-rural-highway,a-carpenter's-tape-measure-lying-on-a-pile-of-two-by-fours,"a-pile-of-wooden-shavings,-scattered-on-a-workshop-floor","a-large,-wooden-beam-being-lifted-by-a-crane-onto-a-construction-site",a-carpenter's-hands-holding-a-pencil-to-mark-a-wooden-board,a-wooden-bridge-crossing-a-stream-in-a-park,a-woodworker's-hands-chiseling-a-decorative-pattern-onto-a-wooden-board,a-carpenter's-hands-gripping-a-two-by-four-for-measuring,"a-man-wearing-a-hard-hat-and-safety-glasses,-operating-a-chainsaw",a-miter-saw-in-a-home-improvement-store-with-a-display-of-various-miter-saw-blades,a-pallet-of-wood-chips-in-a-garden-center,a-sawdust-covered-floor-in-a-woodworking-shop,a-hand-planing-a-wooden-board-in-a-woodworking-shop,"a-bundle-of-wooden-dowels,-tied-with-twine,-on-a-shelf",a-carpenter's-hands-holding-a-wooden-chisel-and-a-mallet,a-chainsaw-cutting-through-a-wooden-log-in-a-woodworking-shop,a-pile-of-stacked-wooden-planks-in-a-construction-yard,a-pile-of-stacked-planks-in-a-woodshed-behind-a-house,a-chainsaw-cord-lying-on-a-wooden-fence-post,a-lumber-yard-sign-with-a-faded-logo-and-weathered-wood,a-chainsaw-hanging-on-a-pegboard-in-a-forest-service-building,a-wood-stove-in-a-cozy-cabin-with-flames-burning-inside,a-stack-of-wooden-crates-in-a-warehouse-with-a-forklift-in-the-background
machine,a-person-typing-away-on-a-typewriter,"a-sleek,-silver-laptop-sitting-on-a-wooden-desk-with-a-cup-of-coffee","a-car-engine-with-a-hood-open,-showing-the-internal-components",a-conveyor-belt-moving-boxes-in-a-warehouse,a-person-working-on-a-project-with-a-3d-modeling-software-on-a-large-monitor,a-person-using-a-cash-machine-at-an-atm,a-robotic-vacuum-cleaner-cleaning-a-hardwood-floor,a-person-operating-a-crane-on-a-construction-site,"a-bicycle-with-a-chain-and-gears,-leaning-against-a-wall","a-factory-worker-operating-a-large,-industrial-press",a-drill-press-in-a-woodworker's-garage-workshop,"a-motorcycle-parked-next-to-a-sleek,-high-tech-sports-car",a-futuristic-looking-spaceship-soaring-through-the-galaxy,"a-high-tech,-3d-printer-printing-a-small-model",a-person-holding-a-smartphone-with-a-cracked-screen,a-bicycle-with-gears-and-chains-in-a-bike-shop,a-machine-gun-on-display-in-a-military-museum,a-robotic-arm-moving-carefully-above-a-workbench-in-a-manufacturing-plant,"a-person-operating-a-large,-industrial-crane",a-stack-of-boxes-being-loaded-onto-a-forklift,a-cash-register-ringing-up-a-sale-at-a-busy-grocery-store,a-person-operating-a-forklift-in-a-warehouse,a-steam-engine-with-a-hissing-pipe-and-a-large-cylinder,"a-high-tech,-medical-machine-scanning-a-patient's-body",a-person-working-on-a-car-engine-in-a-garage
magic,"a-child-holding-a-wand-and-casting-a-spell-in-a-colorful,-imaginary-world","a-wizard-standing-in-front-of-a-dimly-lit,-ancient-bookshelf",a-group-of-faeries-dancing-around-a-full-moon-in-an-enchanted-forest,a-set-of-tarot-cards-spread-out-on-a-velvet-covered-table,"a-stage-with-flashing-lights,-smoke,-and-a-magician-wearing-a-top-hat",a-crystal-ball-perched-on-a-wooden-pedestal-in-a-dimly-lit-room,"a-close-up-view-of-a-magician's-fingers,-with-intricate-finger-movements",a-top-hat-lying-open-on-a-velvet-tablecloth,a-pair-of-high-stakes-poker-players-surrounded-by-stacks-of-gold-coins,a-magician-pulling-a-rabbit-out-of-a-top-hat-in-a-crowded-circus-tent,a-person-holding-a-glowing-crystal-pendant-in-their-hand,a-group-of-children-watching-a-street-magician-perform-a-trick,"a-wand-choosing-a-person,-with-a-burst-of-light-and-sparks","a-mysterious,-ancient-looking-scroll-unrolling-on-a-stone-pedestal",a-person-brewing-a-potion-in-a-bubbling-cauldron-over-an-open-flame,"a-pair-of-eyes-peeking-from-behind-a-mask,-in-a-dimly-lit-alley",a-wand-with-a-glowing-tip-in-the-hand-of-a-practicing-magician,"a-superhero-flying-through-the-air,-surrounded-by-a-burst-of-colorful-energy","a-wizard-wearing-a-pointed-hat-and-a-long,-flowing-robe-in-a-dimly-lit-chamber","a-mysterious,-hooded-figure-lurking-in-the-shadows",a-deck-of-cards-with-elaborate-designs-and-suits,a-set-of-tarot-cards-spread-out-on-a-velvet-cloth,a-group-of-people-gathered-around-a-ouija-board-in-a-dimly-lit-basement,a-crystal-chandelier-reflecting-light-in-a-luxurious-room,a-witch-stirring-a-bubbling-cauldron-over-an-open-flame
magnet,a-magnetic-stripe-on-an-old-computer-hard-drive,a-child-playing-with-refrigerator-magnets-on-a-kitchen-countertop,a-magnetic-sign-on-the-side-of-a-company-vehicle,a-metal-cabinet-with-a-magnetic-lock-and-a-handle,a-magnetic-attachment-on-a-keychain-used-for-holding-keys,a-metal-filing-cabinet-with-magnetic-hooks-for-hanging-folders,a-metal-shelf-with-magnetic-strips-to-hold-small-metal-objects,"a-metal-strip-on-the-side-of-a-car,-with-a-magnetized-parking-permit-attached",a-set-of-refrigerator-magnets-in-the-shape-of-cartoon-characters,a-magnetic-strip-on-a-whiteboard-used-for-organizing-notes-and-reminders,a-metal-toolbox-with-a-magnetic-lid-and-a-collection-of-tools-inside,a-metal-shelf-with-a-magnetic-strip-holding-up-a-small-metal-basket,a-collection-of-paper-clips-and-small-metal-objects-stuck-to-a-strong-magnet-on-a-desk,a-collection-of-magnets-and-metal-objects-on-a-scientist's-lab-bench,a-person-holding-a-magnet-over-a-pile-of-metal-washers,"a-small,-metal-pin-on-a-sewing-machine-table",a-strong-magnetic-clamp-being-used-to-hold-a-metal-pipe-in-place,"a-magnetic-strip-on-the-side-of-a-metal-door,-holding-up-a-schedule",a-metal-strip-with-a-magnet-attached-to-a-workshop-workbench-for-holding-tools,a-child-playing-with-a-set-of-refrigerator-magnets-on-a-kitchen-table,a-magnetic-hook-holding-a-key-on-a-wall-near-the-front-door,a-collection-of-magnets-and-craft-supplies-on-a-table-in-a-hobby-room,a-magnet-on-a-metal-file-cabinet-used-for-holding-up-important-documents,a-pile-of-metal-screws-and-nails-organized-on-a-workbench-with-magnets-holding-them-in-place,"a-child's-playroom-with-a-large,-magnetic-puzzle-on-a-table"
major,"a-person-holding-a-large,-important-looking-document-and-standing-in-a-courtroom",a-high-ranking-officer-saluting-a-flag-at-a-military-ceremony,a-group-of-students-studying-together-in-a-library,"a-person-sitting-at-a-console,-pressing-buttons-and-looking-at-screens","a-large,-historic-building-with-a-grand-entrance-and-a-large-clock-tower",a-crowd-of-people-cheering-and-holding-up-their-hands-in-a-stadium,"a-large,-polished-trophy-sitting-on-a-pedestal","a-scoreboard-in-a-high-school-gymnasium,-displaying-a-basketball-game","a-large,-intricate-map-spread-out-on-a-conference-table","a-person-wearing-a-referee-uniform,-holding-up-a-yellow-card",a-university-logo-emblazoned-on-the-side-of-a-campus-building,"a-person-standing-in-front-of-a-large,-important-looking-artwork-in-a-museum","a-group-of-athletes-running-towards-a-finish-line,-with-a-crowd-cheering",a-musician-conducting-an-orchestra-with-a-grand-symphony-behind-them,"a-group-of-athletes-in-a-stadium,-competing-in-a-major-championship",a-group-of-students-gathered-around-a-professor-in-a-university-lecture-hall,"a-military-officer-standing-in-front-of-a-large,-gleaming-tank",a-group-of-students-in-a-lecture-hall-taking-notes-on-a-blackboard,"a-university-president-standing-on-a-stage,-shaking-hands-with-a-graduate",a-politician-giving-a-speech-from-a-podium-on-the-capitol-steps,a-college-student-wearing-a-cap-and-gown-during-a-graduation-ceremony,"a-person-looking-at-a-map,-planning-a-route-for-a-long-trip",a-person-in-a-business-suit-standing-at-a-podium-and-speaking-to-a-crowd,"a-group-of-students-working-together-on-a-project,-with-laptops-and-papers-scattered-around","a-person-wearing-a-badge-and-carrying-a-clipboard,-walking-down-a-hallway"
maker,a-metal-lathe-with-a-spinning-wheel-and-a-wooden-cutting-tool,a-maker's-hands-polishing-a-metal-object-to-a-high-shine,a-handheld-drill-with-various-attachments-stored-in-a-nearby-toolbox,a-person-examining-a-piece-of-machinery-with-a-multimeter,a-person-operating-a-lathe-machine-in-a-woodshop,a-person-sitting-at-a-workbench-with-a-tool-laden-apron-and-a-half-built-wooden-project,a-person-operating-a-cnc-machine-in-a-high-tech-workshop,a-hand-saw-with-a-wooden-handle-and-a-set-of-sharp-teeth-on-a-pegboard,a-maker's-hands-sanding-a-wooden-object-to-smooth-out-its-surface,a-hand-cranked-sewing-machine-on-a-cluttered-workbench,"a-small,-home-based-workshop-with-a-workbench-and-various-tools",a-person-using-a-heat-gun-to-shape-a-piece-of-metal,a-person-welding-a-piece-of-metal-in-a-well-ventilated-workshop,a-person-using-a-level-to-ensure-a-surface-is-perfectly-horizontal,a-manual-drill-with-a-chuck-and-a-cord-wrapped-around-it-on-a-cluttered-shelf,a-box-of-assorted-woodworking-glue-and-sealants-on-a-cluttered-shelf,a-collection-of-handmade-jewelry-pieces-on-a-display-table,a-person-using-a-drill-press-to-make-precise-holes-in-wood,a-maker's-workshop-with-a-collection-of-vintage-and-modern-tools-on-display,a-stack-of-blueprints-or-schematics-on-a-large-table-with-a-red-marker,a-person-using-a-laser-cutter-to-precision-cut-a-piece-of-wood,a-person-using-a-hand-plane-to-smooth-out-a-piece-of-wood,a-maker's-hands-cutting-a-piece-of-metal-using-a-bandsaw,a-metal-welding-torch-and-a-shield-on-a-cluttered-workbench,a-3d-printed-object-emerging-from-a-maker's-printer
mankind,a-person-typing-away-on-a-typewriter,a-person-meditating-or-practicing-yoga-in-a-peaceful-environment,"a-person-in-a-suit-and-tie,-shaking-hands-with-another-person-in-a-business-meeting",a-group-of-hikers-standing-at-the-summit-of-a-mountain,"a-person-wearing-a-backpack-and-holding-a-walking-stick,-standing-at-the-base-of-a-mountain",a-man-and-a-woman-holding-hands-and-walking-on-a-beach-at-sunset,"a-person-lying-in-a-hospital-bed,-surrounded-by-beeping-machines-and-sterile-equipment","a-person-standing-in-front-of-a-large,-complex-machine,-wearing-a-hard-hat-and-safety-vest","a-person-standing-in-a-crowded-airport,-holding-a-boarding-pass-and-looking-at-a-departure-board","a-person-holding-a-book-and-sitting-in-a-quiet-library,-surrounded-by-shelves-of-books",a-person-working-on-a-computer-with-a-headset-and-a-webcam,a-crowd-of-people-walking-down-a-busy-city-street,a-group-of-people-gathered-around-a-large-stone-monument-in-an-ancient-ruin,"a-family-gathered-around-a-dinner-table,-sharing-a-meal","a-person-sitting-in-a-classroom,-listening-to-a-teacher","a-group-of-friends-playing-a-sport,-such-as-soccer-or-basketball","a-person-holding-a-small-child-in-their-arms,-smiling-and-looking-happy","a-person-standing-in-front-of-a-easel,-brush-in-hand,-painting-a-vibrant-landscape","a-person-standing-on-the-edge-of-a-cliff,-looking-out-at-a-breathtaking-view",a-person-reading-a-book-in-a-quiet-library,"a-person-speaking-from-a-podium-in-a-crowded-auditorium,-with-a-microphone-in-hand",a-pilot-flying-a-commercial-airliner,"a-group-of-people-gathered-around-a-large,-old-tree-in-a-park","a-person-sitting-at-a-wooden-desk,-surrounded-by-stacks-of-books-and-papers","a-person-walking-down-a-street,-carrying-a-large-backpack-and-looking-at-a-map"
manner,a-child-running-freely-in-a-playground,a-skateboarder-performing-a-trick-in-an-empty-parking-lot,a-boxer-throwing-a-powerful-punch-in-a-ring,a-swimmer-sprinting-to-the-finish-line-in-a-pool,a-pianist-playing-a-soothing-melody-in-a-living-room,a-person-swiftly-tying-their-shoelaces-before-a-race,a-person-quickly-mixing-ingredients-in-a-bowl,a-horse-racing-at-high-speed-around-a-track,a-potter-shaping-clay-on-a-spinning-wheel,a-child-carelessly-skipping-rope-in-a-schoolyard,a-person-rapidly-scanning-a-list-of-items-on-their-phone,a-musician-playing-a-note-with-precise-breath-control,a-jogger-running-along-a-scenic-coastal-path,a-surfer-paddling-smoothly-through-calm-ocean-waters,a-sprinter-running-with-explosive-speed-down-a-track,a-cyclist-riding-a-steep-hill-with-intense-effort,a-conductor-leading-an-orchestra-with-precise-gestures,a-bicycle-messenger-racing-through-a-crowded-city-intersection,a-person-rapidly-mixing-batter-in-a-large-bowl-with-a-spoon,a-driver-aggressively-honking-their-horn-at-another-vehicle,a-gymnast-performing-a-difficult-tumbling-pass-on-a-floor-mat,a-juggler-expertly-juggling-multiple-objects-in-a-circus-act,a-hiker-climbing-a-steep-mountain-trail,a-juggler-expertly-juggling-three-balls-in-the-air,a-musician-conducting-an-orchestra-in-a-grand-hall
